Routing Table for Node 0
Destination     Path                                               Path Delay      Path Cost      
1               0 1                                                50              2              
1               0 2 1                                              147             5              
2               0 2                                                64              3              
2               0 1 2                                              133             4              
3               0 3                                                34              5              
3               0 2 5 4 3                                          176             14             
4               0 2 5 4                                            102             8              
4               0 3 4                                              108             11             
5               0 2 5                                              79              4              
5               0 3 4 5                                            131             15             
6               0 2 5 4 6                                          154             11             
6               0 1 7 6                                            176             16             
7               0 1 7                                              120             9              
7               0 2 5 4 6 7                                        210             18             
8               0 3 8                                              44              14             
8               0 2 5 12 13 8                                      187             15             
9               0 1 7 9                                            135             19             
9               0 2 5 10 9                                         175             19             
10              0 2 5 10                                           116             11             
10              0 1 7 9 10                                         194             27             
11              0 3 8 11                                           84              15             
11              0 2 5 12 11                                        200             17             
12              0 2 5 12                                           113             12             
12              0 3 8 13 12                                        118             17             
13              0 2 5 12 13                                        163             13             
13              0 3 8 13                                           68              16             

Routing Table for Node 1
Destination     Path                                               Path Delay      Path Cost      
0               1 0                                                50              2              
0               1 2 0                                              147             5              
2               1 2                                                83              2              
2               1 0 2                                              114             5              
3               1 0 3                                              84              7              
3               1 2 5 4 3                                          195             13             
4               1 2 5 4                                            121             7              
4               1 0 3 4                                            158             13             
5               1 2 5                                              98              3              
5               1 0 3 4 5                                          181             17             
6               1 2 5 4 6                                          173             10             
6               1 7 6                                              126             14             
7               1 7                                                70              7              
7               1 2 5 4 6 7                                        229             17             
8               1 2 5 12 13 8                                      206             14             
8               1 0 3 8                                            94              16             
9               1 7 9                                              85              17             
9               1 2 5 10 9                                         194             18             
10              1 2 5 10                                           135             10             
10              1 7 9 10                                           144             25             
11              1 2 5 12 13 8 11                                   246             15             
11              1 7 9 11                                           115             24             
12              1 2 5 12                                           132             11             
12              1 0 3 8 13 12                                      168             19             
13              1 2 5 12 13                                        182             12             
13              1 0 3 8 13                                         118             18             

Routing Table for Node 2
Destination     Path                                               Path Delay      Path Cost      
0               2 0                                                64              3              
0               2 1 0                                              133             4              
1               2 1                                                83              2              
1               2 0 1                                              114             5              
3               2 0 3                                              98              8              
3               2 5 4 3                                            112             11             
4               2 5 4                                              38              5              
4               2 0 3 4                                            172             14             
5               2 5                                                15              1              
5               2 0 3 4 5                                          195             18             
6               2 5 4 6                                            90              8              
6               2 1 7 6                                            209             16             
7               2 1 7                                              153             9              
7               2 5 4 6 7                                          146             15             
8               2 5 12 13 8                                        123             12             
8               2 0 3 8                                            108             17             
9               2 5 10 9                                           111             16             
9               2 1 7 9                                            168             19             
10              2 5 10                                             52              8              
10              2 1 7 9 10                                         227             27             
11              2 5 12 13 8 11                                     163             13             
11              2 1 7 9 11                                         198             26             
12              2 5 12                                             49              9              
12              2 0 3 8 13 12                                      182             20             
13              2 5 12 13                                          99              10             
13              2 0 3 8 13                                         132             19             

Routing Table for Node 3
Destination     Path                                               Path Delay      Path Cost      
0               3 0                                                34              5              
0               3 4 5 2 0                                          176             14             
1               3 0 1                                              84              7              
1               3 4 5 2 1                                          195             13             
2               3 0 2                                              98              8              
2               3 4 5 2                                            112             11             
4               3 4                                                74              6              
4               3 0 2 5 4                                          136             13             
5               3 0 2 5                                            113             9              
5               3 4 5                                              97              10             
6               3 4 6                                              126             9              
6               3 0 1 7 6                                          210             21             
7               3 0 1 7                                            154             14             
7               3 4 6 7                                            182             16             
8               3 8                                                10              9              
8               3 0 2 5 12 13 8                                    221             20             
9               3 8 11 9                                           80              17             
9               3 0 1 7 9                                          169             24             
10              3 0 2 5 10                                         150             16             
10              3 8 11 9 10                                        139             25             
11              3 8 11                                             50              10             
11              3 0 2 5 12 11                                      234             22             
12              3 8 13 12                                          84              12             
12              3 0 2 5 12                                         147             17             
13              3 8 13                                             34              11             
13              3 0 2 5 12 13                                      197             18             

Routing Table for Node 4
Destination     Path                                               Path Delay      Path Cost      
0               4 5 2 0                                            102             8              
0               4 3 0                                              108             11             
1               4 5 2 1                                            121             7              
1               4 3 0 1                                            158             13             
2               4 5 2                                              38              5              
2               4 3 0 2                                            172             14             
3               4 3                                                74              6              
3               4 5 2 0 3                                          136             13             
5               4 5                                                23              4              
5               4 3 0 2 5                                          187             15             
6               4 6                                                52              3              
6               4 5 2 1 7 6                                        247             21             
7               4 6 7                                              108             10             
7               4 5 2 1 7                                          191             14             
8               4 3 8                                              84              15             
8               4 5 12 13 8                                        131             15             
9               4 5 10 9                                           119             19             
9               4 6 7 9                                            123             20             
10              4 5 10                                             60              11             
10              4 6 7 9 10                                         182             28             
11              4 3 8 11                                           124             16             
11              4 5 12 11                                          144             17             
12              4 5 12                                             57              12             
12              4 3 8 13 12                                        158             18             
13              4 5 12 13                                          107             13             
13              4 3 8 13                                           108             17             

Routing Table for Node 5
Destination     Path                                               Path Delay      Path Cost      
0               5 2 0                                              79              4              
0               5 4 3 0                                            131             15             
1               5 2 1                                              98              3              
1               5 4 3 0 1                                          181             17             
2               5 2                                                15              1              
2               5 4 3 0 2                                          195             18             
3               5 2 0 3                                            113             9              
3               5 4 3                                              97              10             
4               5 4                                                23              4              
4               5 2 0 3 4                                          187             15             
6               5 4 6                                              75              7              
6               5 2 1 7 6                                          224             17             
7               5 2 1 7                                            168             10             
7               5 4 6 7                                            131             14             
8               5 12 13 8                                          108             11             
8               5 2 0 3 8                                          123             18             
9               5 10 9                                             96              15             
9               5 12 13 9                                          94              15             
10              5 10                                               37              7              
10              5 12 13 9 10                                       153             23             
11              5 12 13 8 11                                       148             12             
11              5 10 9 11                                          126             22             
12              5 12                                               34              8              
12              5 2 0 3 8 13 12                                    197             21             
13              5 12 13                                            84              9              
13              5 2 0 3 8 13                                       147             20             

Routing Table for Node 6
Destination     Path                                               Path Delay      Path Cost      
0               6 4 5 2 0                                          154             11             
0               6 7 1 0                                            176             16             
1               6 4 5 2 1                                          173             10             
1               6 7 1                                              126             14             
2               6 4 5 2                                            90              8              
2               6 7 1 2                                            209             16             
3               6 4 3                                              126             9              
3               6 7 1 0 3                                          210             21             
4               6 4                                                52              3              
4               6 7 1 2 5 4                                        247             21             
5               6 4 5                                              75              7              
5               6 7 1 2 5                                          224             17             
7               6 7                                                56              7              
7               6 4 5 2 1 7                                        243             17             
8               6 4 3 8                                            136             18             
8               6 7 9 13 8                                         105             25             
9               6 7 9                                              71              17             
9               6 4 5 10 9                                         171             22             
10              6 4 5 10                                           112             14             
10              6 7 9 10                                           130             25             
11              6 4 3 8 11                                         176             19             
11              6 7 9 11                                           101             24             
12              6 4 5 12                                           109             15             
12              6 7 9 13 12                                        131             24             
13              6 4 5 12 13                                        159             16             
13              6 7 9 13                                           81              23             

Routing Table for Node 7
Destination     Path                                               Path Delay      Path Cost      
0               7 1 0                                              120             9              
0               7 6 4 5 2 0                                        210             18             
1               7 1                                                70              7              
1               7 6 4 5 2 1                                        229             17             
2               7 1 2                                              153             9              
2               7 6 4 5 2                                          146             15             
3               7 1 0 3                                            154             14             
3               7 6 4 3                                            182             16             
4               7 6 4                                              108             10             
4               7 1 2 5 4                                          191             14             
5               7 1 2 5                                            168             10             
5               7 6 4 5                                            131             14             
6               7 6                                                56              7              
6               7 1 2 5 4 6                                        243             17             
8               7 9 13 8                                           49              18             
8               7 1 0 3 8                                          164             23             
9               7 9                                                15              10             
9               7 1 2 5 10 9                                       264             25             
10              7 1 2 5 10                                         205             17             
10              7 9 10                                             74              18             
11              7 9 11                                             45              17             
11              7 1 2 5 12 13 8 11                                 316             22             
12              7 9 13 12                                          75              17             
12              7 1 2 5 12                                         202             18             
13              7 9 13                                             25              16             
13              7 1 2 5 12 13                                      252             19             

Routing Table for Node 8
Destination     Path                                               Path Delay      Path Cost      
0               8 3 0                                              44              14             
0               8 13 12 5 2 0                                      187             15             
1               8 13 12 5 2 1                                      206             14             
1               8 3 0 1                                            94              16             
2               8 13 12 5 2                                        123             12             
2               8 3 0 2                                            108             17             
3               8 3                                                10              9              
3               8 13 12 5 2 0 3                                    221             20             
4               8 3 4                                              84              15             
4               8 13 12 5 4                                        131             15             
5               8 13 12 5                                          108             11             
5               8 3 0 2 5                                          123             18             
6               8 3 4 6                                            136             18             
6               8 11 9 7 6                                         141             25             
7               8 11 9 7                                           85              18             
7               8 13 12 5 2 1 7                                    276             21             
9               8 11 9                                             70              8              
9               8 13 9                                             34              8              
10              8 11 9 10                                          129             16             
10              8 13 12 5 10                                       145             18             
11              8 11                                               40              1              
11              8 13 12 11                                         161             8              
12              8 13 12                                            74              3              
12              8 11 12                                            127             6              
13              8 13                                               24              2              
13              8 11 12 13                                         177             7              

Routing Table for Node 9
Destination     Path                                               Path Delay      Path Cost      
0               9 13 12 5 2 0                                      173             19             
0               9 7 1 0                                            135             19             
1               9 7 1                                              85              17             
1               9 13 12 5 2 1                                      192             18             
2               9 13 12 5 2                                        109             16             
2               9 7 1 2                                            168             19             
3               9 13 8 3                                           44              17             
3               9 10 5 2 0 3                                       209             24             
4               9 13 12 5 4                                        117             19             
