Routing Table for Node 0
Destination     Path                                               Path Delay      Path Cost      
1               0 1                                                2               2              
1               0 2 1                                              5               5              
2               0 2                                                3               3              
2               0 1 2                                              4               4              
3               0 3                                                5               5              
3               0 2 5 4 3                                          14              14             
4               0 2 5 4                                            8               8              
4               0 3 4                                              11              11             
5               0 2 5                                              4               4              
5               0 3 4 5                                            15              15             
6               0 2 5 4 6                                          11              11             
6               0 1 7 6                                            16              16             
7               0 1 7                                              9               9              
7               0 2 5 4 6 7                                        18              18             
8               0 3 8                                              14              14             
8               0 2 5 12 13 8                                      15              15             
9               0 1 7 9                                            19              19             
9               0 2 5 10 9                                         19              19             
10              0 2 5 10                                           11              11             
10              0 1 7 9 10                                         27              27             
11              0 3 8 11                                           15              15             
11              0 2 5 12 11                                        17              17             
12              0 2 5 12                                           12              12             
12              0 3 8 13 12                                        17              17             
13              0 2 5 12 13                                        13              13             
13              0 3 8 13                                           16              16             

Routing Table for Node 1
Destination     Path                                               Path Delay      Path Cost      
0               1 0                                                2               2              
0               1 2 0                                              5               5              
2               1 2                                                2               2              
2               1 0 2                                              5               5              
3               1 0 3                                              7               7              
3               1 2 5 4 3                                          13              13             
4               1 2 5 4                                            7               7              
4               1 0 3 4                                            13              13             
5               1 2 5                                              3               3              
5               1 0 3 4 5                                          17              17             
6               1 2 5 4 6                                          10              10             
6               1 7 6                                              14              14             
7               1 7                                                7               7              
7               1 2 5 4 6 7                                        17              17             
8               1 2 5 12 13 8                                      14              14             
8               1 0 3 8                                            16              16             
9               1 7 9                                              17              17             
9               1 2 5 10 9                                         18              18             
10              1 2 5 10                                           10              10             
10              1 7 9 10                                           25              25             
11              1 2 5 12 13 8 11                                   15              15             
11              1 7 9 11                                           24              24             
12              1 2 5 12                                           11              11             
12              1 0 3 8 13 12                                      19              19             
13              1 2 5 12 13                                        12              12             
13              1 0 3 8 13                                         18              18             

Routing Table for Node 2
Destination     Path                                               Path Delay      Path Cost      
0               2 0                                                3               3              
0               2 1 0                                              4               4              
1               2 1                                                2               2              
1               2 0 1                                              5               5              
3               2 0 3                                              8               8              
3               2 5 4 3                                            11              11             
4               2 5 4                                              5               5              
4               2 0 3 4                                            14              14             
5               2 5                                                1               1              
5               2 0 3 4 5                                          18              18             
6               2 5 4 6                                            8               8              
6               2 1 7 6                                            16              16             
7               2 1 7                                              9               9              
7               2 5 4 6 7                                          15              15             
8               2 5 12 13 8                                        12              12             
8               2 0 3 8                                            17              17             
9               2 5 10 9                                           16              16             
9               2 1 7 9                                            19              19             
10              2 5 10                                             8               8              
10              2 1 7 9 10                                         27              27             
11              2 5 12 13 8 11                                     13              13             
11              2 1 7 9 11                                         26              26             
12              2 5 12                                             9               9              
12              2 0 3 8 13 12                                      20              20             
13              2 5 12 13                                          10              10             
13              2 0 3 8 13                                         19              19             

Routing Table for Node 3
Destination     Path                                               Path Delay      Path Cost      
0               3 0                                                5               5              
0               3 4 5 2 0                                          14              14             
1               3 0 1                                              7               7              
1               3 4 5 2 1                                          13              13             
2               3 0 2                                              8               8              
2               3 4 5 2                                            11              11             
4               3 4                                                6               6              
4               3 0 2 5 4                                          13              13             
5               3 0 2 5                                            9               9              
5               3 4 5                                              10              10             
6               3 4 6                                              9               9              
6               3 0 1 7 6                                          21              21             
7               3 0 1 7                                            14              14             
7               3 4 6 7                                            16              16             
8               3 8                                                9               9              
8               3 0 2 5 12 13 8                                    20              20             
9               3 8 11 9                                           17              17             
9               3 0 1 7 9                                          24              24             
10              3 0 2 5 10                                         16              16             
10              3 8 11 9 10                                        25              25             
11              3 8 11                                             10              10             
11              3 0 2 5 12 11                                      22              22             
12              3 8 13 12                                          12              12             
12              3 0 2 5 12                                         17              17             
13              3 8 13                                             11              11             
13              3 0 2 5 12 13                                      18              18             

Routing Table for Node 4
Destination     Path                                               Path Delay      Path Cost      
0               4 5 2 0                                            8               8              
0               4 3 0                                              11              11             
1               4 5 2 1                                            7               7              
1               4 3 0 1                                            13              13             
2               4 5 2                                              5               5              
2               4 3 0 2                                            14              14             
3               4 3                                                6               6              
3               4 5 2 0 3                                          13              13             
5               4 5                                                4               4              
5               4 3 0 2 5                                          15              15             
6               4 6                                                3               3              
6               4 5 2 1 7 6                                        21              21             
7               4 6 7                                              10              10             
7               4 5 2 1 7                                          14              14             
8               4 3 8                                              15              15             
8               4 5 12 13 8                                        15              15             
9               4 5 10 9                                           19              19             
9               4 6 7 9                                            20              20             
10              4 5 10                                             11              11             
10              4 6 7 9 10                                         28              28             
11              4 3 8 11                                           16              16             
11              4 5 12 11                                          17              17             
12              4 5 12                                             12              12             
12              4 3 8 13 12                                        18              18             
13              4 5 12 13                                          13              13             
13              4 3 8 13                                           17              17             

Routing Table for Node 5
Destination     Path                                               Path Delay      Path Cost      
0               5 2 0                                              4               4              
0               5 4 3 0                                            15              15             
1               5 2 1                                              3               3              
1               5 4 3 0 1                                          17              17             
2               5 2                                                1               1              
2               5 4 3 0 2                                          18              18             
3               5 2 0 3                                            9               9              
3               5 4 3                                              10              10             
4               5 4                                                4               4              
4               5 2 0 3 4                                          15              15             
6               5 4 6                                              7               7              
6               5 2 1 7 6                                          17              17             
7               5 2 1 7                                            10              10             
7               5 4 6 7                                            14              14             
8               5 12 13 8                                          11              11             
8               5 2 0 3 8                                          18              18             
9               5 10 9                                             15              15             
9               5 12 13 9                                          15              15             
10              5 10                                               7               7              
10              5 12 13 9 10                                       23              23             
11              5 12 13 8 11                                       12              12             
11              5 10 9 11                                          22              22             
12              5 12                                               8               8              
12              5 2 0 3 8 13 12                                    21              21             
13              5 12 13                                            9               9              
13              5 2 0 3 8 13                                       20              20             

Routing Table for Node 6
Destination     Path                                               Path Delay      Path Cost      
0               6 4 5 2 0                                          11              11             
0               6 7 1 0                                            16              16             
1               6 4 5 2 1                                          10              10             
1               6 7 1                                              14              14             
2               6 4 5 2                                            8               8              
2               6 7 1 2                                            16              16             
3               6 4 3                                              9               9              
3               6 7 1 0 3                                          21              21             
4               6 4                                                3               3              
4               6 7 1 2 5 4                                        21              21             
5               6 4 5                                              7               7              
5               6 7 1 2 5                                          17              17             
7               6 7                                                7               7              
7               6 4 5 2 1 7                                        17              17             
8               6 4 3 8                                            18              18             
8               6 7 9 13 8                                         25              25             
9               6 7 9                                              17              17             
9               6 4 5 10 9                                         22              22             
10              6 4 5 10                                           14              14             
10              6 7 9 10                                           25              25             
11              6 4 3 8 11                                         19              19             
11              6 7 9 11                                           24              24             
12              6 4 5 12                                           15              15             
12              6 7 9 13 12                                        24              24             
13              6 4 5 12 13                                        16              16             
13              6 7 9 13                                           23              23             

Routing Table for Node 7
Destination     Path                                               Path Delay      Path Cost      
0               7 1 0                                              9               9              
0               7 6 4 5 2 0                                        18              18             
1               7 1                                                7               7              
1               7 6 4 5 2 1                                        17              17             
2               7 1 2                                              9               9              
2               7 6 4 5 2                                          15              15             
3               7 1 0 3                                            14              14             
3               7 6 4 3                                            16              16             
4               7 6 4                                              10              10             
4               7 1 2 5 4                                          14              14             
5               7 1 2 5                                            10              10             
5               7 6 4 5                                            14              14             
6               7 6                                                7               7              
6               7 1 2 5 4 6                                        17              17             
8               7 9 13 8                                           18              18             
8               7 1 0 3 8                                          23              23             
9               7 9                                                10              10             
9               7 1 2 5 10 9                                       25              25             
10              7 1 2 5 10                                         17              17             
10              7 9 10                                             18              18             
11              7 9 11                                             17              17             
11              7 1 2 5 12 13 8 11                                 22              22             
12              7 9 13 12                                          17              17             
12              7 1 2 5 12                                         18              18             
13              7 9 13                                             16              16             
13              7 1 2 5 12 13                                      19              19             

Routing Table for Node 8
Destination     Path                                               Path Delay      Path Cost      
0               8 3 0                                              14              14             
0               8 13 12 5 2 0                                      15              15             
1               8 13 12 5 2 1                                      14              14             
1               8 3 0 1                                            16              16             
2               8 13 12 5 2                                        12              12             
2               8 3 0 2                                            17              17             
3               8 3                                                9               9              
3               8 13 12 5 2 0 3                                    20              20             
4               8 3 4                                              15              15             
4               8 13 12 5 4                                        15              15             
5               8 13 12 5                                          11              11             
5               8 3 0 2 5                                          18              18             
6               8 3 4 6                                            18              18             
6               8 11 9 7 6                                         25              25             
7               8 11 9 7                                           18              18             
7               8 13 12 5 2 1 7                                    21              21             
9               8 11 9                                             8               8              
9               8 13 9                                             8               8              
10              8 11 9 10                                          16              16             
10              8 13 12 5 10                                       18              18             
11              8 11                                               1               1              
11              8 13 12 11                                         8               8              
12              8 13 12                                            3               3              
12              8 11 12                                            6               6              
13              8 13                                               2               2              
13              8 11 12 13                                         7               7              

Routing Table for Node 9
Destination     Path                                               Path Delay      Path Cost      
0               9 13 12 5 2 0                                      19              19             
0               9 7 1 0                                            19              19             
1               9 7 1                                              17              17             
1               9 13 12 5 2 1                                      18              18             
2               9 13 12 5 2                                        16              16             
2               9 7 1 2                                            19              19             
3               9 13 8 3                                           17              17             
3               9 10 5 2 0 3                                       24              24             
4               9 13 12 5 4                                        19              19             
4               9 7 6 4                                            20              20             
5               9 13 12 5                                          15              15             
5               9 10 5                                             15              15             
6               9 7 6                                              17              17             
6               9 13 12 5 4 6                                      22              22             
7               9 7                                                10              10             
7               9 13 12 5 2 1 7                                    25              25             
8               9 13 8                                             8               8              
8               9 11 8                                             8               8              
10              9 10                                               8               8              
10              9 13 12 5 10                                       22              22             
11              9 11                                               7               7              
11              9 13 8 11                                          9               9              
12              9 13 12                                            7               7              
12              9 11 12                                            12              12             
13              9 13                                               6               6              
13              9 11 8 13                                          10              10             

Routing Table for Node 10
Destination     Path                                               Path Delay      Path Cost      
0               10 5 2 0                                           11              11             
0               10 9 7 1 0                                         27              27             
1               10 5 2 1                                           10              10             
1               10 9 7 1                                           25              25             
2               10 5 2                                             8               8              
2               10 9 7 1 2                                         27              27             
3               10 5 2 0 3                                         16              16             
3               10 9 13 8 3                                        25              25             
4               10 5 4                                             11              11             
4               10 9 7 6 4                                         28              28             
5               10 5                                               7               7              
5               10 9 13 12 5                                       23              23             
6               10 5 4 6                                           14              14             
6               10 9 7 6                                           25              25             
7               10 5 2 1 7                                         17              17             
7               10 9 7                                             18              18             
8               10 9 13 8                                          16              16             
8               10 5 12 11 8                                       21              21             
9               10 9                                               8               8              
9               10 5 12 13 9                                       22              22             
11              10 9 11                                            15              15             
11              10 5 12 13 8 11                                    19              19             
12              10 5 12                                            15              15             
12              10 9 13 12                                         15              15             
13              10 9 13                                            14              14             
13              10 5 12 13                                         16              16             

Routing Table for Node 11
Destination     Path                                               Path Delay      Path Cost      
0               11 8 3 0                                           15              15             
0               11 12 5 2 0                                        17              17             
1               11 8 13 12 5 2 1                                   15              15             
1               11 9 7 1                                           24              24             
2               11 8 13 12 5 2                                     13              13             
2               11 9 7 1 2                                         26              26             
3               11 8 3                                             10              10             
3               11 12 5 2 0 3                                      22              22             
4               11 8 3 4                                           16              16             
4               11 12 5 4                                          17              17             
5               11 8 13 12 5                                       12              12             
5               11 9 10 5                                          22              22             
6               11 8 3 4 6                                         19              19             
6               11 9 7 6                                           24              24             
7               11 9 7                                             17              17             
7               11 8 13 12 5 2 1 7                                 22              22             
8               11 8                                               1               1              
8               11 12 13 8                                         8               8              
9               11 9                                               7               7              
9               11 8 13 9                                          9               9              
10              11 9 10                                            15              15             
10              11 8 13 12 5 10                                    19              19             
12              11 8 13 12                                         4               4              
12              11 12                                              5               5              
13              11 8 13                                            3               3              
13              11 12 13                                           6               6              

Routing Table for Node 12
Destination     Path                                               Path Delay      Path Cost      
0               12 5 2 0                                           12              12             
0               12 13 8 3 0                                        17              17             
1               12 5 2 1                                           11              11             
1               12 13 8 3 0 1                                      19              19             
2               12 5 2                                             9               9              
2               12 13 8 3 0 2                                      20              20             
3               12 13 8 3                                          12              12             
3               12 5 2 0 3                                         17              17             
4               12 5 4                                             12              12             
4               12 13 8 3 4                                        18              18             
5               12 5                                               8               8              
5               12 13 8 3 0 2 5                                    21              21             
6               12 5 4 6                                           15              15             
6               12 13 9 7 6                                        24              24             
7               12 13 9 7                                          17              17             
7               12 5 2 1 7                                         18              18             
8               12 13 8                                            3               3              
8               12 11 8                                            6               6              
9               12 13 9                                            7               7              
9               12 11 9                                            12              12             
10              12 13 9 10                                         15              15             
10              12 5 10                                            15              15             
11              12 13 8 11                                         4               4              
11              12 11                                              5               5              
13              12 13                                              1               1              
13              12 11 8 13                                         8               8              

Routing Table for Node 13
Destination     Path                                               Path Delay      Path Cost      
0               13 12 5 2 0                                        13              13             
0               13 8 3 0                                           16              16             
1               13 12 5 2 1                                        12              12             
1               13 8 3 0 1                                         18              18             
2               13 12 5 2                                          10              10             
2               13 8 3 0 2                                         19              19             
3               13 8 3                                             11              11             
3               13 12 5 2 0 3                                      18              18             
4               13 12 5 4                                          13              13             
4               13 8 3 4                                           17              17             
5               13 12 5                                            9               9              
5               13 8 3 0 2 5                                       20              20             
6               13 12 5 4 6                                        16              16             
6               13 9 7 6                                           23              23             
7               13 9 7                                             16              16             
7               13 12 5 2 1 7                                      19              19             
8               13 8                                               2               2              
8               13 12 11 8                                         7               7              
9               13 9                                               6               6              
9               13 8 11 9                                          10              10             
10              13 9 10                                            14              14             
10              13 12 5 10                                         16              16             
11              13 8 11                                            3               3              
11              13 12 11                                           6               6              
12              13 12                                              1               1              
12              13 8 11 12                                         8               8              

